Title,Cuisine,Cooking Time (mins),Ingredients,Description
Borscht,French,102,"Flour, butter, sugar, eggs, yeast","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ratatouille,Japanese,67,"Flour, tomatoes, mozzarella, basil, olive oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Croissant,West African,106,"Lentils, garlic, tomatoes, cumin, mustard seeds",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Shakshuka,Thai,110,"Chicken, butter, cream, tomatoes, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Ramen,Japanese,110,"Egusi seeds, spinach, stockfish, palm oil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Egusi Soup,Indian,18,"Coconut milk, green curry paste, chicken, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Burrito,Indian,78,"Noodles, broth, pork, egg, green onions","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Sweet and Sour Chicken,Italian,24,"Shrimp, flour, eggs, tempura sauce","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Butter Chicken,Thai,38,"Chicken, bell peppers, pineapple, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Butter Chicken,French,57,"Tortilla, beans, rice, cheese, chicken","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ratatouille,Middle Eastern,75,"Chicken, bell peppers, pineapple, soy sauce","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Borscht,Thai,31,"Yam flour, water","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Ramen,French,90,"Tortilla, beans, rice, cheese, chicken","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Kung Pao Chicken,Russian,56,"Chicken, peanuts, chili peppers, soy sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Borscht,Thai,15,"Ground beef, lettuce, cheese, salsa, tortilla chips","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Kung Pao Chicken,Japanese,39,"Shrimp, lemongrass, lime leaves, chili, broth","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Lasagna,Japanese,19,"Noodles, broth, pork, egg, green onions","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Taco Salad,Japanese,67,"Ground beef, lettuce, cheese, salsa, tortilla chips",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Ratatouille,Indian,20,"Pasta, tomato sauce, cheese, ground beef, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Shakshuka,West African,60,"Yam flour, water","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Russian,41,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Pelmeni,West African,105,"Chicken, bell peppers, pineapple, soy sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Tempura,Indian,114,"Chickpeas, tahini, lemon, garlic, olive oil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Sweet and Sour Chicken,French,23,"Noodles, broth, pork, egg, green onions","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Tom Yum Soup,Chinese,71,"Lentils, garlic, tomatoes, cumin, mustard seeds","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Sweet and Sour Chicken,Mexican,78,"Flour, butter, sugar, eggs, yeast",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Mexican,49,"Chicken, bell peppers, pineapple, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Ratatouille,Japanese,48,"Eggplant, zucchini, bell peppers, tomatoes, herbs",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Japanese,79,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Mexican,99,"Flour, butter, sugar, eggs, yeast","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Green Curry,Indian,35,"Chicken, butter, cream, tomatoes, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Egusi Soup,Indian,82,"Yam flour, water","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Pelmeni,Chinese,59,"Yam flour, water","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Butter Chicken,Mexican,25,"Coconut milk, green curry paste, chicken, basil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Burrito,Japanese,31,"Ground beef, lettuce, cheese, salsa, tortilla chips","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Sweet and Sour Chicken,Thai,108,"Chicken, butter, cream, tomatoes, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Borscht,Mexican,81,"Tomatoes, eggs, onions, bell peppers, spices","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Green Curry,Italian,96,"Dough, ground meat, onions, salt, pepper",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Borscht,Middle Eastern,107,"Yam flour, water","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Indian,82,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Shakshuka,West African,34,"Flour, butter, sugar, eggs, yeast","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Shakshuka,Mexican,25,"Lentils, garlic, tomatoes, cumin, mustard seeds","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Burrito,Italian,64,"Flour, butter, sugar, eggs, yeast","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Green Curry,Chinese,86,"Shrimp, flour, eggs, tempura sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ratatouille,Japanese,12,"Ground beef, lettuce, cheese, salsa, tortilla chips","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Pounded Yam,Mexican,73,"Chicken, bell peppers, pineapple, soy sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ramen,West African,107,"Tomatoes, eggs, onions, bell peppers, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Ramen,Chinese,97,"Dough, ground meat, onions, salt, pepper","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Green Curry,Indian,58,"Ground beef, lettuce, cheese, salsa, tortilla chips","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Sweet and Sour Chicken,Indian,106,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Taco Salad,Chinese,60,"Shrimp, lemongrass, lime leaves, chili, broth",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Chinese,21,"Chicken, peanuts, chili peppers, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Pizza Margherita,Chinese,67,"Flour, tomatoes, mozzarella, basil, olive oil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Shakshuka,Middle Eastern,90,"Flour, butter, sugar, eggs, yeast","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Sweet and Sour Chicken,French,18,"Shrimp, lemongrass, lime leaves, chili, broth","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Green Curry,Chinese,75,"Coconut milk, green curry paste, chicken, basil",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Green Curry,Russian,38,"Lentils, garlic, tomatoes, cumin, mustard seeds",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Borscht,Mexican,77,"Lentils, garlic, tomatoes, cumin, mustard seeds","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Shakshuka,Japanese,110,"Chickpeas, tahini, lemon, garlic, olive oil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Butter Chicken,French,93,"Tortilla, beans, rice, cheese, chicken","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Egusi Soup,Chinese,100,"Shrimp, flour, eggs, tempura sauce",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Ratatouille,Mexican,30,"Lentils, garlic, tomatoes, cumin, mustard seeds","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Borscht,Russian,50,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Tempura,Thai,88,"Coconut milk, green curry paste, chicken, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Tempura,Mexican,80,"Flour, butter, sugar, eggs, yeast","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Kung Pao Chicken,West African,86,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Kung Pao Chicken,Indian,66,"Dough, ground meat, onions, salt, pepper",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Sweet and Sour Chicken,French,67,"Chicken, peanuts, chili peppers, soy sauce",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Ratatouille,Mexican,40,"Chicken, peanuts, chili peppers, soy sauce","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Egusi Soup,Thai,50,"Tomatoes, eggs, onions, bell peppers, spices","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Mexican,68,"Tortilla, beans, rice, cheese, chicken","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Butter Chicken,Middle Eastern,112,"Egusi seeds, spinach, stockfish, palm oil",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Russian,73,"Chicken, butter, cream, tomatoes, spices","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Pizza Margherita,French,27,"Chicken, bell peppers, pineapple, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Borscht,Indian,94,"Dough, ground meat, onions, salt, pepper","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Hummus,Russian,57,"Coconut milk, green curry paste, chicken, basil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Tempura,Russian,36,"Tortilla, beans, rice, cheese, chicken","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Croissant,Indian,21,"Coconut milk, green curry paste, chicken, basil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Hummus,Middle Eastern,85,"Yam flour, water","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Ramen,Thai,75,"Egusi seeds, spinach, stockfish, palm oil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Ramen,Mexican,72,"Ground beef, lettuce, cheese, salsa, tortilla chips","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Hummus,Japanese,91,"Chickpeas, tahini, lemon, garlic, olive oil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Taco Salad,Russian,76,"Pasta, tomato sauce, cheese, ground beef, basil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Tom Yum Soup,Chinese,10,"Shrimp, lemongrass, lime leaves, chili, broth","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Ramen,Russian,43,"Dough, ground meat, onions, salt, pepper","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Kung Pao Chicken,Chinese,87,"Eggplant, zucchini, bell peppers, tomatoes, herbs",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Mexican,29,"Shrimp, lemongrass, lime leaves, chili, broth","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Egusi Soup,Italian,21,"Noodles, broth, pork, egg, green onions","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Burrito,West African,96,"Chicken, bell peppers, pineapple, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
